2023-02-06 17:05:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:05:26+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:05:13+00:00, province: Ankara, district: None, country: TR
2023-02-06 17:04:26+00:00, province: None, district: Akershus, country: NO
2023-02-06 17:03:39+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:01:40+00:00, province: Er-Reyyan, district: None, country: QA
2023-02-06 17:01:32+00:00, province: Ankara, district: None, country: TR
2023-02-06 17:00:48+00:00, province: Bursa, district: None, country: TR
2023-02-06 16:59:24+00:00, province: İzmir, district: None, country: TR
2023-02-06 16:58:19+00:00, province: Tekirdağ, district: None, country: TR
2023-02-06 16:58:02+00:00, province: Adana, district: None, country: TR
2023-02-06 16:57:11+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:57:05+00:00, province: Antalya, district: None, country: TR
2023-02-06 16:56:48+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:56:17+00:00, province: Eskişehir, district: None, country: TR
2023-02-06 16:55:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:53:04+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:50:22+00:00, province: Massachusetts, district: Norfolk County, country: US
2023-02-06 16:49:04+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:48:30+00:00, province: Antalya, district: Antalya, country: TR
2023-02-06 16:47:51+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:46:02+00:00, province: Niederösterreich, district: Bezirk Mödling, country: AT
2023-02-06 16:45:31+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:45:27+00:00, province: New Jersey, district: Atlantic County, country: US
2023-02-06 16:43:22+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:43:12+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:42:32+00:00, province: Hatay, district: None, country: TR
2023-02-06 16:40:49+00:00, province: İzmir, district: None, country: TR
2023-02-06 16:40:46+00:00, province: Ankara, district: Ankara, country: TR
2023-02-06 16:36:18+00:00, province: Düzce, district: Düzce Merkez, country: TR
2023-02-06 16:35:24+00:00, province: Denizli, district: None, country: TR
2023-02-06 16:34:57+00:00, province: Karaman, district: Karaman Merkez, country: TR
2023-02-06 16:34:33+00:00, province: Muğla, district: None, country: TR
2023-02-06 16:33:06+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:31:38+00:00, province: Antalya, district: None, country: TR
2023-02-06 16:31:37+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:29:52+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:29:44+00:00, province: None, district: None, country: TR
2023-02-06 16:29:34+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:27:01+00:00, province: Bursa, district: None, country: TR
2023-02-06 16:26:11+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:25:07+00:00, province: Bursa, district: None, country: TR
2023-02-06 16:22:47+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:18:22+00:00, province: New Jersey, district: Atlantic County, country: US
2023-02-06 16:17:52+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:16:14+00:00, province: Denizli, district: None, country: TR
2023-02-06 16:15:24+00:00, province: Maskat valiliği, district: ولاية السيب, country: OM
2023-02-06 16:14:39+00:00, province: None, district: None, country: GR
2023-02-06 16:14:00+00:00, province: Ardahan, district: Ardahan Merkez, country: TR
2023-02-06 16:13:55+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:11:16+00:00, province: New Jersey, district: Atlantic County, country: US
2023-02-06 16:11:04+00:00, province: İstanbul, district: None, country: TR
2023-02-06 16:10:27+00:00, province: None, district: Kütahya Merkez, country: TR
2023-02-06 16:09:12+00:00, province: Bursa, district: None, country: TR
2023-02-06 16:08:56+00:00, province: Kilis, district: Kilis Merkez, country: TR
2023-02-06 16:05:46+00:00, province: Antalya, district: Antalya, country: TR
